Site,Transect,Interval,Quadrat,Wetness,Ci,Mp,Op,Da
CopeCk,1,1750,175,83.33333333,0,10,40,40
CopeCk,1,1760,176,83.33333333,0,0,70,60
CopeCk,1,1770,177,83.33333333,0,0,50,0
CopeCk,1,1780,178,83.33333333,0,0,40,0
CopeCk,1,1790,179,83.33333333,5,0,40,0
CopeCk,1,1800,180,83.33333333,5,5,60,5
CopeCk,1,1810,181,83.33333333,0,10,40,40
CopeCk,1,1820,182,83.33333333,0,10,30,20
CopeCk,1,1830,183,83.33333333,0,20,40,20
CopeCk,1,1840,184,83.33333333,30,5,30,20
CopeCk,1,1850,185,83.33333333,10,5,60,60
CopeCk,1,1860,186,83.33333333,5,0,60,40
CopeCk,1,1870,187,83.33333333,10,0,60,0
CopeCk,1,1880,188,83.33333333,10,0,30,30
CopeCk,1,1890,189,83.33333333,0,0,30,40
CopeCk,1,1900,190,83.33333333,20,0,40,30
CopeCk,1,1910,191,83.33333333,0,0,60,30
CopeCk,1,1920,192,83.33333333,10,0,60,40
CopeCk,1,1930,193,83.33333333,0,0,5,50
CopeCk,1,1940,194,83.33333333,0,0,10,20
CopeCk,1,1950,195,83.33333333,20,0,20,20
CopeCk,1,1960,196,83.33333333,30,0,50,30
CopeCk,1,1970,197,83.33333333,20,0,60,5
CopeCk,1,1980,198,83.33333333,5,10,20,0
CopeCk,1,1990,199,83.33333333,10,0,40,30
CopeCk,1,2000,200,83.33333333,5,0,30,30
CopeCk,1,2010,201,83.33333333,20,0,50,30
CopeCk,1,2020,202,83.33333333,5,0,10,0
CopeCk,1,2030,203,83.33333333,0,0,60,40
CopeCk,1,2040,204,83.33333333,10,0,0,50
CopeCk,1,2050,205,83.33333333,5,0,20,60
CopeCk,1,2060,206,83.33333333,20,0,40,70
CopeCk,1,2070,207,83.33333333,5,0,20,80
CopeCk,1,2080,208,83.33333333,20,0,20,20
CopeCk,1,2090,209,83.33333333,20,0,20,40
CopeCk,1,2100,210,83.33333333,30,0,50,50
CopeCk,1,2110,211,83.33333333,20,0,40,50
CopeCk,1,2120,212,83.33333333,5,0,60,60
CopeCk,1,2130,213,66.66666667,30,0,60,40
CopeCk,1,2140,214,66.66666667,0,0,20,0
CopeCk,1,2150,215,66.66666667,0,0,5,0
CopeCk,1,2160,216,66.66666667,5,0,5,0
CopeCk,1,2170,217,66.66666667,0,0,30,0
CopeCk,1,2180,218,66.66666667,5,0,40,5
CopeCk,1,2190,219,66.66666667,0,0,5,5
CopeCk,1,2200,220,66.66666667,0,0,0,0
CopeCk,1,2210,221,66.66666667,10,5,0,30
CopeCk,1,2220,222,66.66666667,5,5,0,0
CopeCk,1,2230,223,66.66666667,50,0,0,0
CopeCk,1,2240,224,83.33333333,5,0,0,0
CopeCk,1,2250,225,83.33333333,10,0,0,0
CopeCk,1,2260,226,83.33333333,80,0,0,0
CopeCk,1,2270,227,100,30,0,30,5
CopeCk,1,2280,228,100,10,0,90,40
CopeCk,1,2290,229,100,10,0,80,20
CopeCk,1,2300,230,83.33333333,10,0,70,30
CopeCk,1,2310,231,83.33333333,55,0,60,30
CopeCk,1,2320,232,100,20,0,60,50
CopeCk,1,2330,233,100,10,0,40,60
CopeCk,1,2340,234,100,20,0,10,40
CopeCk,1,2350,235,100,20,0,50,40
CopeCk,1,2360,236,100,20,0,40,40
CopeCk,1,2370,237,100,20,0,60,20
CopeCk,1,2380,238,100,30,0,20,40
CopeCk,1,2390,239,100,30,0,10,20
CopeCk,1,2400,240,100,40,0,20,0
CopeCk,1,2410,241,100,20,0,20,60
CopeCk,1,2420,242,83.33333333,30,0,30,60
CopeCk,1,2430,243,83.33333333,10,0,30,60
CopeCk,1,2440,244,83.33333333,0,0,70,10
CopeCk,1,2450,245,83.33333333,5,0,90,10
CopeCk,1,2460,246,83.33333333,20,0,70,50
CopeCk,1,2470,247,83.33333333,30,0,20,40
CopeCk,1,2480,248,83.33333333,5,0,70,20
CopeCk,1,2490,249,83.33333333,20,0,50,30
CopeCk,1,2500,250,83.33333333,40,5,40,40
CopeCk,1,2510,251,83.33333333,20,0,80,40
CopeCk,1,2520,252,83.33333333,20,0,90,10
CopeCk,1,2530,253,83.33333333,30,0,70,30
CopeCk,1,2540,254,66.66666667,20,0,30,20
CopeCk,1,2550,255,83.33333333,5,0,30,30
CopeCk,1,2560,256,83.33333333,60,20,0,20
CopeCk,1,2570,257,83.33333333,40,0,0,30
CopeCk,1,2580,258,83.33333333,50,20,0,30
CopeCk,1,2590,259,83.33333333,30,5,0,10
CopeCk,1,2600,260,83.33333333,0,0,0,0
CopeCk,1,2610,261,83.33333333,0,2.5,0,0
CopeCk,1,2620,262,83.33333333,30,10,0,0
CopeCk,1,2630,263,83.33333333,30,0,10,0
CopeCk,1,2640,264,83.33333333,10,0,30,5
CopeCk,1,2650,265,83.33333333,0,0,40,20
CopeCk,1,2660,266,100,50,0,40,20
CopeCk,1,2670,267,100,20,0,30,5
CopeCk,1,2680,268,100,10,0,0,0
CopeCk,1,2690,269,100,50,0,10,0
CopeCk,1,2700,270,100,20,10,10,0
CopeCk,1,2710,271,100,30,0,10,0
CopeCk,1,2720,272,100,60,0,0,10
CopeCk,1,2730,273,100,30,0,10,0
CopeCk,1,2740,274,100,20,0,90,20
CopeCk,1,2750,275,100,40,0,10,50
CopeCk,1,2760,276,100,0,10,10,40
CopeCk,1,2770,277,100,0,0,50,20
CopeCk,1,2780,278,100,10,0,30,60
CopeCk,1,2790,279,100,30,0,20,70
CopeCk,1,2800,280,100,10,0,20,20
CopeCk,1,2810,281,100,10,0,70,20
CopeCk,1,2820,282,100,20,0,90,10
CopeCk,1,2830,283,100,20,0,60,30
CopeCk,1,2840,284,100,10,0,0,0
CopeHut,1,10,285,100,5,0,10,0
CopeHut,1,20,286,100,0,0,20,0
CopeHut,1,30,287,100,0,0,60,20
CopeHut,1,40,288,100,5,0,40,5
CopeHut,1,50,289,100,0,0,80,5
CopeHut,1,60,290,100,10,0,70,10
CopeHut,1,70,291,100,0,0,60,0
CopeHut,1,80,292,100,5,0,90,10
CopeHut,1,90,293,100,70,0,20,10
CopeHut,1,100,294,100,40,0,60,0
CopeHut,1,110,295,100,10,0,60,0
CopeHut,1,120,296,100,20,0,20,0
CopeHut,1,130,297,100,10,0,90,5
CopeHut,1,140,298,100,0,0,30,0
CopeHut,1,150,299,100,10,0,30,0
CopeHut,1,160,300,100,30,0,60,0
CopeHut,1,170,301,100,10,0,60,0
CopeHut,1,180,302,100,20,0,40,0
CopeHut,1,190,303,100,10,0,0,0
CopeHut,1,200,304,100,30,0,50,0
CopeHut,1,210,305,100,30,0,40,0
CopeHut,1,220,306,100,20,0,60,0
CopeHut,1,230,307,100,0,0,50,0
CopeHut,1,240,308,100,20,0,10,0
CopeHut,1,250,309,100,10,0,40,0
CopeHut,1,260,310,100,0,0,20,0
CopeHut,1,270,311,100,20,0,20,0
CopeHut,1,280,312,100,30,0,30,0
CopeHut,1,290,313,100,20,0,60,0
CopeHut,1,300,314,100,30,0,20,0
CopeHut,1,310,315,100,30,0,30,0
CopeHut,1,320,316,100,0,0,5,0
CopeHut,1,330,317,100,30,0,0,0
CopeHut,1,340,318,100,10,0,0,0
CopeHut,1,350,319,100,50,0,10,0
CopeHut,1,360,320,100,5,0,5,0
CopeHut,1,370,321,100,50,0,30,0
CopeHut,1,380,322,100,20,0,90,20
CopeHut,1,390,323,100,20,0,90,40
CopeHut,1,400,324,100,20,0,90,5
CopeHut,1,410,325,100,20,0,90,0
CopeHut,1,420,326,100,40,0,50,0
CopeHut,1,430,327,100,20,0,60,10
CopeHut,1,440,328,100,30,0,20,20
CopeHut,1,450,329,100,40,0,20,0
CopeHut,1,460,330,100,40,0,40,0
CopeHut,1,470,331,100,70,0,40,0
CopeHut,1,480,332,100,20,0,30,0
CopeHut,1,490,333,100,10,0,5,0
CopeHut,1,500,334,100,30,0,0,0
CopeHut,1,510,335,100,20,0,40,5
CopeHut,1,520,336,100,10,0,30,10
CopeHut,1,530,337,100,10,0,50,0
CopeHut,1,540,338,100,20,0,20,0
CopeHut,1,550,339,100,30,0,40,0
CopeHut,1,560,340,100,20,0,10,0
CopeHut,1,570,341,100,30,0,10,0
CopeHut,1,580,342,100,30,5,0,0
CopeHut,1,590,343,100,10,0,0,0
CopeHut,1,600,344,100,20,0,40,10
CopeHut,1,610,345,100,10,0,5,0
CopeHut,1,620,346,100,0,0,0,0
CopeHut,1,630,347,100,10,0,20,0
CopeHut,1,640,348,100,0,0,30,0
CopeHut,1,650,349,100,20,0,20,5
CopeHut,1,660,350,100,20,0,10,5
CopeHut,1,670,351,100,10,0,10,0
CopeHut,1,680,352,100,10,0,60,0
CopeHut,1,690,353,100,5,0,5,0
CopeHut,1,700,354,100,5,0,50,0
CopeHut,1,710,355,100,20,0,70,0
CopeHut,1,720,356,100,20,0,5,0
CopeHut,1,730,357,100,20,0,50,0
CopeHut,1,740,358,100,30,0,30,0
CopeHut,1,750,359,100,30,0,80,0
CopeHut,1,760,360,100,30,0,80,0
CopeHut,1,770,361,100,20,0,0,0
CopeHut,1,780,362,100,30,0,0,0
CopeHut,1,790,363,100,0,0,2.5,0
CopeHut,1,800,364,100,0,0,50,0
CopeHut,1,810,365,100,0,0,10,0
CopeHut,1,820,366,100,0,0,0,0
CopeHut,1,830,367,83.33333333,0,0,0,0
CopeHut,1,840,368,83.33333333,0,0,60,0
CopeHut,1,850,369,83.33333333,0,0,40,0
CopeHut,1,860,370,83.33333333,0,0,60,0
CopeHut,1,870,371,83.33333333,0,0,40,0
CopeHut,1,880,372,83.33333333,5,0,30,0
CopeHut,1,890,373,83.33333333,70,0,0,0
CopeHut,1,900,374,83.33333333,2.5,0,30,0
CopeHut,1,910,375,83.33333333,0,0,2.5,0
CopeHut,1,920,376,83.33333333,2.5,0,40,0
CopeHut,1,930,377,100,20,0,30,0
CopeHut,1,940,378,100,10,0,80,0
CopeHut,1,950,379,100,20,0,80,0
CopeHut,1,960,380,100,5,0,50,0
CopeHut,1,970,381,100,0,0,30,0
CopeHut,1,980,382,100,20,0,0,0
CopeHut,1,990,383,100,50,0,0,0
CopeHut,1,1000,384,100,30,0,80,0
CopeHut,1,1010,385,100,40,0,70,0
CopeHut,1,1020,386,100,70,0,20,0
CopeHut,1,1030,387,100,40,0,60,0
CopeHut,1,1040,388,100,70,0,20,0
CopeHut,1,1050,389,100,30,0,10,0
CopeHut,1,1060,390,100,60,0,10,0
CopeHut,1,1070,391,100,60,0,20,0
CopeHut,1,1080,392,100,0,0,0,0
CopeHut,1,1090,393,100,80,0,20,0
CopeHut,1,1100,394,66.66666667,20,0,60,0
CopeHut,1,1110,395,33.33333333,5,0,60,0
CopeHut,1,1120,396,33.33333333,10,0,60,0
CopeHut,1,1130,397,33.33333333,0,0,40,0
CopeHut,1,1140,398,33.33333333,0,0,40,0
CopeHut,1,1150,399,33.33333333,0,0,10,0
CopeHut,1,1160,400,33.33333333,2.5,0,50,0
CopeHut,1,1170,401,50,5,0,70,0
CopeHut,1,1180,402,50,0,0,50,0
CopeHut,1,1190,403,50,10,0,10,0
CopeHut,1,1200,404,83.33333333,10,0,30,0
CopeHut,1,1210,405,100,0,0,5,0
CopeHut,1,1220,406,100,20,0,50,0
CopeHut,1,1230,407,83.33333333,5,0,80,0
CopeHut,1,1240,408,83.33333333,0,0,20,0
CopeHut,1,1250,409,100,5,0,10,0
CopeHut,1,1260,410,100,10,0,30,0
CopeHut,1,1270,411,100,10,0,20,5
CopeHut,1,1280,412,100,0,0,30,0
CopeHut,1,1290,413,100,2.5,0,30,0
CopeHut,1,1300,414,100,0,0,50,0
CopeHut,1,1310,415,100,0,0,30,0
CopeHut,1,1320,416,100,0,0,40,0
CopeHut,1,1330,417,100,20,0,30,0
CopeHut,1,1340,418,100,20,0,80,0
CopeHut,1,1350,419,100,20,0,70,0
CopeHut,1,1360,420,100,0,0,10,0
CopeHut,1,1370,421,100,0,0,20,0
CopeHut,1,1380,422,100,0,0,20,0
CopeHut,1,1390,423,100,0,0,5,0
CopeHut,1,1400,424,83.33333333,0,0,80,0
CopeHut,1,1410,425,83.33333333,0,0,20,0
CopeHut,1,1420,426,83.33333333,0,0,80,0
CopeHut,1,1430,427,83.33333333,0,0,80,0
CopeHut,1,1440,428,100,0,0,60,0
CopeHut,1,1450,429,100,0,0,10,0
CopeHut,1,1460,430,100,0,0,70,0
CopeHut,1,1470,431,100,0,0,50,0
CopeHut,1,1480,432,100,5,0,30,0
CopeHut,1,1490,433,100,10,0,40,0
CopeHut,1,1500,434,100,0,0,0,0
CopeHut,1,1510,435,100,5,0,0,0
CopeHut,1,1520,436,100,20,0,30,0
CopeHut,1,1530,437,100,20,10,40,0
CopeHut,1,1540,438,100,0,30,0,0
CopeHut,1,1550,439,100,20,0,0,0
CopeHut,1,1560,440,100,10,0,20,0
CopeHut,1,1570,441,100,30,0,70,0
CopeHut,1,1580,442,100,5,0,40,0
CopeHut,1,1590,443,100,40,0,0,0
CopeHut,1,1600,444,100,20,0,40,0
CopeHut,1,1610,445,100,5,0,5,0
CopeHut,1,1620,446,100,10,0,60,0
CopeHut,1,1630,447,100,10,0,5,0
CopeHut,1,1640,448,100,0,5,0,0
CopeHut,1,1650,449,100,0,5,5,0
CopeHut,1,1660,450,100,20,0,20,0
CopeHut,1,1670,451,100,30,0,20,0
CopeHut,1,1680,452,100,10,0,30,0
CopeHut,1,1690,453,100,20,0,10,0
CopeHut,1,1700,454,100,0,0,90,0
CopeHut,2,10,455,100,10,0,40,0
CopeHut,2,20,456,100,10,0,90,0
CopeHut,2,30,457,100,30,0,20,0
CopeHut,2,40,458,100,30,0,5,0
CopeHut,2,50,459,100,20,0,0,0
CopeHut,2,60,460,100,0,0,0,0
CopeHut,2,70,461,100,30,0,40,0
CopeHut,2,80,462,100,30,0,80,0
CopeHut,2,90,463,100,10,0,0,0
CopeHut,2,100,464,100,20,0,0,0
CopeHut,2,110,465,100,40,0,5,0
CopeHut,2,120,466,100,40,0,20,0
CopeHut,2,130,467,100,30,0,0,0
CopeHut,2,140,468,100,40,0,30,0
CopeHut,2,150,469,100,30,0,5,0
CopeHut,2,160,470,100,5,0,60,0
CopeHut,2,170,471,100,20,0,90,0
CopeHut,2,180,472,100,10,0,30,0
CopeHut,2,190,473,100,40,0,10,0
CopeHut,2,200,474,100,20,0,30,0
CopeHut,2,210,475,100,50,0,20,0
CopeHut,2,220,476,100,40,0,50,0
CopeHut,2,230,477,100,20,5,10,0
CopeHut,2,240,478,100,10,5,0,0
CopeHut,2,250,479,100,30,0,20,0
CopeHut,2,260,480,100,20,0,40,0
CopeHut,2,270,481,100,20,0,40,0
CopeHut,2,280,482,100,0,0,0,0
CopeHut,2,290,483,100,20,0,0,0
CopeHut,2,300,484,100,20,0,0,0
CopeHut,2,310,485,100,50,0,0,0
CopeHut,2,320,486,100,5,0,30,0
CopeHut,2,330,487,100,30,0,40,0
CopeHut,2,340,488,100,60,0,0,0
CopeHut,2,350,489,100,5,5,0,0
CopeHut,2,360,490,100,0,20,10,0
CopeHut,2,370,491,100,10,0,40,0
CopeHut,2,380,492,100,20,0,10,0
CopeHut,2,390,493,100,50,0,0,0
CopeHut,2,400,494,100,0,5,5,0
CopeHut,2,410,495,100,5,5,20,0
CopeHut,2,420,496,100,0,0,90,0
CopeHut,2,430,497,100,0,2.5,60,0
CopeHut,2,440,498,100,0,20,0,0
CopeHut,2,450,499,100,0,30,0,0
CopeHut,2,460,500,100,0,20,5,0
CopeHut,2,470,501,100,30,2.5,30,0
CopeHut,2,480,502,100,0,5,20,0
CopeHut,2,490,503,100,0,20,20,0
CopeHut,2,500,504,100,30,5,50,0
CopeHut,2,510,505,100,60,0,30,0
CopeHut,2,520,506,100,5,0,30,0
CopeHut,2,530,507,100,30,0,70,0
CopeHut,2,540,508,100,30,0,0,0
CopeHut,2,550,509,100,10,0,5,0
CopeHut,2,560,510,100,0,0,10,0
CopeHut,2,570,511,100,0,0,0,0
CopeHut,2,580,512,100,40,0,0,0
CopeHut,2,590,513,100,0,0,30,0
CopeHut,2,600,514,100,60,0,40,0
CopeHut,2,610,515,100,10,0,60,0
CopeHut,2,620,516,100,50,0,20,0
CopeHut,2,630,517,100,20,0,10,0
CopeHut,2,640,518,100,40,0,10,0
CopeHut,2,650,519,100,5,5,40,0
CopeHut,2,660,520,100,5,20,5,0
CopeHut,2,670,521,100,10,10,20,0
CopeHut,2,680,522,100,30,10,30,0
CopeHut,2,690,523,100,20,0,20,0
CopeHut,2,700,524,100,40,0,40,5
CopeHut,2,710,525,100,30,0,5,0
CopeHut,2,720,526,100,40,5,5,0
CopeHut,2,730,527,100,20,0,20,0
CopeHut,2,740,528,100,2.5,5,0,0
CopeHut,2,750,529,100,30,5,10,0
CopeHut,2,760,530,100,10,20,5,0
CopeHut,2,770,531,100,0,30,0,0
CopeHut,2,780,532,100,0,10,40,0
CopeHut,2,790,533,100,0,0,5,0
CopeHut,2,800,534,100,10,0,20,0
CopeHut,3,10,535,100,20,0,90,5
CopeHut,3,20,536,100,30,0,20,0
CopeHut,3,30,537,100,0,0,30,0
CopeHut,3,40,538,100,40,0,50,0
CopeHut,3,50,539,100,50,0,0,0
CopeHut,3,60,540,100,60,0,0,0
CopeHut,3,70,541,100,30,0,0,0
CopeHut,3,80,542,100,20,0,0,0
CopeHut,3,90,543,100,0,0,0,0
CopeHut,3,100,544,100,0,0,0,0
CopeHut,3,110,545,100,20,0,0,0
CopeHut,3,120,546,100,0,10,0,0
CopeHut,3,130,547,100,30,20,0,0
CopeHut,3,140,548,100,20,20,0,0
CopeHut,3,150,549,100,10,30,0,0
CopeHut,3,160,550,100,0,20,0,0
CopeHut,3,170,551,100,20,10,0,0
CopeHut,3,180,552,100,60,0,0,0
CopeHut,3,190,553,100,5,10,0,0
CopeHut,3,200,554,100,30,0,0,0
CopeHut,3,210,555,100,50,0,0,0
CopeHut,3,220,556,100,10,20,0,0
CopeHut,3,230,557,100,0,30,0,0
CopeHut,3,240,558,100,5,0,0,0
CopeHut,3,250,559,100,0,5,0,0
CopeHut,3,260,560,100,40,5,0,0
CopeHut,3,270,561,100,20,5,0,0
CopeHut,3,280,562,100,0,5,0,0
CopeHut,3,290,563,100,50,0,0,0
CopeHut,3,300,564,100,60,0,0,0
CopeHut,3,310,565,100,0,5,0,0
CopeHut,3,320,566,100,0,0,0,0
CopeHut,3,330,567,100,0,10,0,0
CopeHut,3,340,568,100,5,10,5,0
CopeHut,3,350,569,100,50,0,0,0
CopeHut,3,360,570,100,30,0,0,0
CopeHut,3,370,571,100,20,0,0,0
CopeHut,3,380,572,100,30,5,0,0
CopeHut,3,390,573,100,40,5,0,0
CopeHut,3,400,574,100,20,10,0,0
CopeHut,3,410,575,83.33333333,2.5,20,0,0
CopeHut,3,420,576,83.33333333,30,0,0,0
CopeHut,3,430,577,83.33333333,2.5,0,30,5
CopeHut,3,440,578,83.33333333,0,0,40,20
CopeHut,3,450,579,83.33333333,0,5,0,0
CopeHut,3,460,580,83.33333333,0,0,70,5
CopeHut,3,470,581,66.66666667,0,0,50,0
CopeHut,3,480,582,83.33333333,0,0,30,0
CopeHut,3,490,583,83.33333333,0,0,20,0
CopeHut,3,500,584,83.33333333,0,0,40,0
CopeHut,3,510,585,83.33333333,0,0,100,20
CopeHut,3,520,586,83.33333333,10,0,100,10
CopeHut,3,530,587,83.33333333,30,0,100,5
CopeHut,3,540,588,83.33333333,10,0,100,0
